Dataset,Actives,Inactives,Target Class,Target
pcba-aid411*,1562,69734,other enzyme,luciferase
pcba-aid875,32,73870,protein-protein interaction,brca1-bach1
pcba-aid881,589,106656,other enzyme,15hLO-2
pcba-aid883,1214,8170,other enzyme,CYP2C9
pcba-aid884,3391,9676,other enzyme,CYP3A4
pcba-aid885,163,12904,other enzyme,CYP3A4
pcba-aid887,1024,72140,other enzyme,15hLO-1
pcba-aid891,1548,7836,other enzyme,CYP2D6
pcba-aid899,1809,7575,other enzyme,CYP2C19
pcba-aid902*,1872,123512,viability,H1299-p53A138V
pcba-aid903*,338,54175,viability,H1299-neo
pcba-aid904*,528,53981,viability,H1299-neo
pcba-aid912,445,68506,miscellaneous,anthrax LF-PA internalization
pcba-aid914,218,10619,transcription factor,HIF-1
pcba-aid915,436,10401,transcription factor,HIF-1
pcba-aid924*,1146,122867,viability,H1299-p53A138V
pcba-aid925,39,64358,miscellaneous,EGFP-654
pcba-aid926,350,71666,GPCR,TSHR
pcba-aid927*,61,59108,protease,USP2a
pcba-aid938,1775,70241,ion channel,CNG
pcba-aid995*,699,70189,signalling pathway,ERK1/2 cascade
pcba-aid1030,15963,200920,other enzyme,ALDH1A1
pcba-aid1379*,562,198500,other enzyme,luciferase
pcba-aid1452,177,151634,other enzyme,12hLO
pcba-aid1454*,536,130788,signalling pathway,ERK1/2 cascade
pcba-aid1457,722,204859,other enzyme,IMPase
pcba-aid1458,5805,202680,miscellaneous,SMN2
pcba-aid1460*,5662,261757,protein-protein interaction,K18
pcba-aid1461,2305,218561,GPCR,NPSR
pcba-aid1468*,1039,270371,protein-protein interaction,K18
pcba-aid1469,169,276098,protein-protein interaction,TRb-SRC2
pcba-aid1471,288,223321,protein-protein interaction,huntingtin
pcba-aid1479,788,275479,miscellaneous,TRb-SRC2
pcba-aid1631,892,262774,other enzyme,hPK-M2
pcba-aid1634,154,263512,other enzyme,hPK-M2
pcba-aid1688,2374,218200,protein-protein interaction,HTTQ103
pcba-aid1721,1087,291649,other enzyme,LmPK
pcba-aid2100*,1159,301145,other enzyme,alpha-glucosidase
pcba-aid2101*,285,321268,other enzyme,glucocerebrosidase
pcba-aid2147,3477,223441,other enzyme,JMJD2E
pcba-aid2242*,715,198459,other enzyme,alpha-glucosidase
pcba-aid2326,1069,268500,miscellaneous,influenza A NS1
pcba-aid2451,2008,285737,other enzyme,FBPA
pcba-aid2517,1136,344762,other enzyme,APE1
pcba-aid2528,660,347283,other enzyme,BLM
pcba-aid2546,10550,293509,transcription factor,VP16
pcba-aid2549,1210,233706,other enzyme,RECQ1
pcba-aid2551,16666,288772,transcription factor,ROR gamma
pcba-aid2662,110,293953,miscellaneous,MLL-HOX-A
pcba-aid2675,99,279333,miscellaneous,MBNL1-CUG
pcba-aid2676,1081,361124,GPCR,RXFP1
pcba-aid463254*,41,330640,protease,USP2a
pcba-aid485281,254,341253,miscellaneous,apoferritin
pcba-aid485290,942,343503,other enzyme,TDP1
pcba-aid485294*,148,362056,other enzyme,AmpC
